day,month,date,sentence,photo_path,source_path
7,December,"December 7, 1787","On December 7, 1787, Delaware became the 1st state to join the United States of America!",us_history.png,Delaware
12,December,"December 12, 1787","On December 12, 1787, Pennsylvania became the 2nd state to join the United States of America!",us_history.png,Pennsylvania
18,December,"December 18, 1787","On December 18, 1787, New Jersey became the 3rd state to join the United States of America!",us_history.png,New Jersey
2,January,"January 2, 1788","On January 2, 1788, Georgia became the 4th state to join the United States of America!",us_history.png,Georgia
9,January,"January 9, 1788","On January 9, 1788, Connecticut became the 5th state to join the United States of America!",us_history.png,Connecticut
6,February,"February 6, 1788","On February 6, 1788, Massachusetts became the 6th state to join the United States of America!",us_history.png,Massachusetts
28,April,"April 28, 1788","On April 28, 1788, Maryland became the 7th state to join the United States of America!",us_history.png,Maryland
23,May,"May 23, 1788","On May 23, 1788, South Carolina became the 8th state to join the United States of America!",us_history.png,South Carolina
21,June,"June 21, 1788","On June 21, 1788, New Hampshire became the 9th state to join the United States of America!",us_history.png,New Hampshire
25,June,"June 25, 1788","On June 25, 1788, Virginia became the 10th state to join the United States of America!",us_history.png,Virginia
26,July,"July 26, 1788","On July 26, 1788, New York became the 11st state to join the United States of America!",us_history.png,New York
21,November,"November 21, 1789","On November 21, 1789, North Carolina became the 12nd state to join the United States of America!",us_history.png,North Carolina
29,May,"May 29, 1790","On May 29, 1790, Rhode Island became the 13rd state to join the United States of America!",us_history.png,Rhode Island
4,March,"March 4, 1791","On March 4, 1791, Vermont became the 14th state to join the United States of America!",us_history.png,Vermont
1,June,"June 1, 1792","On June 1, 1792, Kentucky became the 15th state to join the United States of America!",us_history.png,Kentucky
1,June,"June 1, 1796","On June 1, 1796, Tennessee became the 16th state to join the United States of America!",us_history.png,Tennessee
1,March,"March 1, 1803","On March 1, 1803, Ohio became the 17th state to join the United States of America!",us_history.png,Ohio
30,April,"April 30, 1812","On April 30, 1812, Louisiana became the 18th state to join the United States of America!",us_history.png,Louisiana
11,December,"December 11, 1816","On December 11, 1816, Indiana became the 19th state to join the United States of America!",us_history.png,Indiana
10,December,"December 10, 1817","On December 10, 1817, Mississippi became the 20th state to join the United States of America!",us_history.png,Mississippi
3,December,"December 3, 1818","On December 3, 1818, Illinois became the 21st state to join the United States of America!",us_history.png,Illinois
14,December,"December 14, 1819","On December 14, 1819, Alabama became the 22nd state to join the United States of America!",us_history.png,Alabama
15,March,"March 15, 1820","On March 15, 1820, Maine became the 23rd state to join the United States of America!",Flag_of_Maine.png,Maine
10,August,"August 10, 1821","On August 10, 1821, Missouri became the 24th state to join the United States of America!",us_history.png,Missouri
15,June,"June 15, 1836","On June 15, 1836, Arkansas became the 25th state to join the United States of America!",us_history.png,Arkansas
26,January,"January 26, 1837","On January 26, 1837, Michigan became the 26th state to join the United States of America!",us_history.png,Michigan
3,March,"March 3, 1845","On March 3, 1845, Florida became the 27th state to join the United States of America!",Florida.png,Florida
29,December,"December 29, 1845","On December 29, 1845, Texas became the 28th state to join the United States of America!",us_history.png,Texas
28,December,"December 28, 1846","On December 28, 1846, Iowa became the 29th state to join the United States of America!",us_history.png,Iowa
29,May,"May 29, 1848","On May 29, 1848, Wisconsin became the 30th state to join the United States of America!",us_history.png,Wisconsin
9,September,"September 9, 1850","On September 9, 1850, California became the 31st state to join the United States of America!",us_history.png,California
11,May,"May 11, 1858","On May 11, 1858, Minnesota became the 32nd state to join the United States of America!",us_history.png,Minnesota
14,February,"February 14, 1859","On February 14, 1859, Oregon became the 33rd state to join the United States of America!",us_history.png,Oregon
29,January,"January 29, 1861","On January 29, 1861, Kansas became the 34th state to join the United States of America!",us_history.png,Kansas
20,June,"June 20, 1863","On June 20, 1863, West Virginia became the 35th state to join the United States of America!",us_history.png,West Virginia
31,October,"October 31, 1864","On October 31, 1864, Nevada became the 36th state to join the United States of America!",us_history.png,Nevada
1,March,"March 1, 1867","On March 1, 1867, Nebraska became the 37th state to join the United States of America!",us_history.png,Nebraska
1,August,"August 1, 1876","On August 1, 1876, Colorado became the 38th state to join the United States of America!",us_history.png,Colorado
2,November,"November 2, 1889","On November 2, 1889, North Dakota became the 39th state to join the United States of America!",us_history.png,North Dakota
2,November,"November 2, 1889","On November 2, 1889, South Dakota became the 40th state to join the United States of America!",us_history.png,South Dakota
8,November,"November 8, 1889","On November 8, 1889, Montana became the 41st state to join the United States of America!",us_history.png,Montana
11,November,"November 11, 1889","On November 11, 1889, Washington became the 42nd state to join the United States of America!",us_history.png,Washington
3,July,"July 3, 1890","On July 3, 1890, Idaho became the 43rd state to join the United States of America!",us_history.png,Idaho
10,July,"July 10, 1890","On July 10, 1890, Wyoming became the 44th state to join the United States of America!",us_history.png,Wyoming
4,January,"January 4, 1896","On January 4, 1896, Utah became the 45th state to join the United States of America!",us_history.png,Utah
16,November,"November 16, 1907","On November 16, 1907, Oklahoma became the 46th state to join the United States of America!",us_history.png,Oklahoma
6,January,"January 6, 1912","On January 6, 1912, New Mexico became the 47th state to join the United States of America!",us_history.png,New Mexico
14,February,"February 14, 1912","On February 14, 1912, Arizona became the 48th state to join the United States of America!",us_history.png,Arizona
3,January,"January 3, 1959","On January 3, 1959, Alaska became the 49th state to join the United States of America!",us_history.png,Alaska
21,August,"August 21, 1959","On August 21, 1959, Hawaii became the 50th state to join the United States of America!",us_history.png,Hawaii
14,December,"December 14, 1799","On December 14, 1799, George Washington died of acute epiglottitis in Mount Vernon, Virginia.",us_history.png,George Washington
4,July,"July 4, 1826","On July 4, 1826, Thomas Jefferson died of toxemia from a kidney infection, uremia from kidney damage, and pneumonia in Charlottesville, Virginia.",us_history.png,Thomas Jefferson
4,July,"July 4, 1826","On July 4, 1826, John Adams died of heart failure in Quincy, Massachusetts.",us_history.png,John Adams
4,July,"July 4, 1831","On July 4, 1831, James Monroe died of tuberculosis in New York City, New York.",us_history.png,James Monroe
28,June,"June 28, 1836","On June 28, 1836, James Madison died of heart failure in Orange, Virginia.",us_history.png,James Madison
4,April,"April 4, 1841","On April 4, 1841, William Henry Harrison died of enteric fever in Washington, D.C..",us_history.png,William Henry Harrison
8,June,"June 8, 1845","On June 8, 1845, Andrew Jackson died of chronic dropsy, and heart failure in Nashville, Tennessee.",us_history.png,Andrew Jackson
23,February,"February 23, 1848","On February 23, 1848, John Quincy Adams died of stroke in Washington, D.C..",us_history.png,John Quincy Adams
15,June,"June 15, 1849","On June 15, 1849, James K. Polk died of cholera in Nashville, Tennessee.",us_history.png,James K. Polk
9,July,"July 9, 1850","On July 9, 1850, Zachary Taylor died of gastroenteritis in Washington, D.C..",us_history.png,Zachary Taylor
18,January,"January 18, 1862","On January 18, 1862, John Tyler died of stroke in Richmond, Virginia.",us_history.png,John Tyler
24,July,"July 24, 1862","On July 24, 1862, Martin Van Buren died of asthma in Kinderhook, New York.",us_history.png,Martin Van Buren
15,April,"April 15, 1865","On April 15, 1865, Abraham Lincoln died of gunshot wound in Washington, D.C..",us_history.png,Abraham Lincoln
1,June,"June 1, 1868","On June 1, 1868, James Buchanan died of respiratory failure, rheumatic gout in Lancaster, Pennsylvania.",us_history.png,James Buchanan
8,October,"October 8, 1869","On October 8, 1869, Franklin Pierce died of inflammation of the stomach in Concord, New Hampshire.",us_history.png,Franklin Pierce
8,March,"March 8, 1874","On March 8, 1874, Millard Fillmore died of stroke in Buffalo, New York.",us_history.png,Millard Fillmore
31,July,"July 31, 1875","On July 31, 1875, Andrew Johnson died of stroke in Carter's Station, Tennessee.",us_history.png,Andrew Johnson
19,September,"September 19, 1881","On September 19, 1881, James A. Garfield died of septic shock resulting from medical care of gunshot in Elberon, New Jersey.",us_history.png,James A. Garfield
23,July,"July 23, 1885","On July 23, 1885, Ulysses S. Grant died of throat cancer in Wilton, New York.",us_history.png,Ulysses S. Grant
18,November,"November 18, 1886","On November 18, 1886, Chester A. Arthur died of stroke in New York City, New York.",us_history.png,Chester A. Arthur
17,January,"January 17, 1893","On January 17, 1893, Rutherford B. Hayes died of heart disease in Fremont, Ohio.",us_history.png,Rutherford B. Hayes
13,March,"March 13, 1901","On March 13, 1901, Benjamin Harrison died of pneumonia in Indianapolis, Indiana.",us_history.png,Benjamin Harrison
14,September,"September 14, 1901","On September 14, 1901, William McKinley died of gangrene within gunshot wound in Buffalo, New York.",us_history.png,William McKinley
24,June,"June 24, 1908","On June 24, 1908, Grover Cleveland died of coronary sclerosis; paralysis; orintestinal obstruction in Princeton, New Jersey.",us_history.png,Grover Cleveland
24,June,"June 24, 1908","On June 24, 1908, Grover Cleveland died of coronary sclerosis; paralysis; orintestinal obstruction in Princeton, New Jersey.",us_history.png,Grover Cleveland
6,January,"January 6, 1919","On January 6, 1919, Theodore Roosevelt died of coronary occlusion by a blood clot (assumed) in Oyster Bay, New York.",us_history.png,Theodore Roosevelt
2,August,"August 2, 1923","On August 2, 1923, Warren G. Harding died of congestive heart failure (likely) in San Francisco, California.",us_history.png,Warren G. Harding
3,February,"February 3, 1924","On February 3, 1924, Woodrow Wilson died of apoplexy, paralysis in Washington, D.C..",us_history.png,Woodrow Wilson
8,March,"March 8, 1930","On March 8, 1930, William Howard Taft died of heart disease in Washington, D.C..",us_history.png,William Howard Taft
5,January,"January 5, 1933","On January 5, 1933, Calvin Coolidge died of heart attack in Northampton, Massachusetts.",us_history.png,Calvin Coolidge
12,April,"April 12, 1945","On April 12, 1945, Franklin D. Roosevelt died of cerebral hemorrhage or stroke in Warm Springs, Georgia.",us_history.png,Franklin D. Roosevelt
22,November,"November 22, 1963","On November 22, 1963, John F. Kennedy died of gunshot wound in Dallas, Texas.",us_history.png,John F. Kennedy
20,October,"October 20, 1964","On October 20, 1964, Herbert Hoover died of internal hemorrhage,upper gastrointestinal bleeding,strained vascular systems in New York City, New York.",us_history.png,Herbert Hoover
28,March,"March 28, 1969","On March 28, 1969, Dwight D. Eisenhower died of coronary thrombosis, heart failure in Bethesda, Maryland.",us_history.png,Dwight D. Eisenhower
26,December,"December 26, 1972","On December 26, 1972, Harry S. Truman died of minor lung congestion; organ failures;cardiovascular system collapse, hypotension in Kansas City, Missouri.",us_history.png,Harry S. Truman
22,January,"January 22, 1973","On January 22, 1973, Lyndon B. Johnson died of heart attack in Johnson City, Texas.",us_history.png,Lyndon B. Johnson
22,April,"April 22, 1994","On April 22, 1994, Richard Nixon died of stroke, paralysis, swelling of the brain in New York, New York.",us_history.png,Richard Nixon
5,June,"June 5, 2004","On June 5, 2004, Ronald Reagan died of Alzheimer's disease, pneumonia in Los Angeles, California.",us_history.png,Ronald Reagan
26,December,"December 26, 2006","On December 26, 2006, Gerald Ford died of arteriosclerotic cerebrovascular diseaseand diffuse arteriosclerosis in Rancho Mirage, California.",us_history.png,Gerald Ford
30,November,"November 30, 2018","On November 30, 2018, George H. W. Bush died of Parkinson's disease in Houston, Texas.",us_history.png,George H. W. Bush
26,February,"February 26, 1919","On February 26, 1919, Acadia National Park was established. In 2019, it welcomed 3,437,286 visitors.",us_history.png,Acadia National Park
31,October,"October 31, 1988","On October 31, 1988, American Samoa National Park was established. In 2019, it welcomed 60,006 visitors.",us_history.png,American Samoa National Park
12,November,"November 12, 1971","On November 12, 1971, Arches National Park was established. In 2019, it welcomed 1,659,702 visitors.",us_history.png,Arches National Park
10,November,"November 10, 1978","On November 10, 1978, Badlands National Park was established. In 2019, it welcomed 970,998 visitors.",us_history.png,Badlands National Park
12,June,"June 12, 1944","On June 12, 1944, Big Bend National Park was established. In 2019, it welcomed 463,832 visitors.",us_history.png,Big Bend National Park
28,June,"June 28, 1980","On June 28, 1980, Biscayne National Park was established. In 2019, it welcomed 708,522 visitors.",us_history.png,Biscayne National Park
21,October,"October 21, 1999","On October 21, 1999, Black Canyon of the Gunnison National Park was established. In 2019, it welcomed 432,818 visitors.",us_history.png,Black Canyon of the Gunnison National Park
25,February,"February 25, 1928","On February 25, 1928, Bryce Canyon National Park was established. In 2019, it welcomed 2,594,904 visitors.",us_history.png,Bryce Canyon National Park
12,September,"September 12, 1964","On September 12, 1964, Canyonlands National Park was established. In 2019, it welcomed 733,996 visitors.",us_history.png,Canyonlands National Park
18,December,"December 18, 1971","On December 18, 1971, Capitol Reef National Park was established. In 2019, it welcomed 1,226,519 visitors.",us_history.png,Capitol Reef National Park
14,May,"May 14, 1930","On May 14, 1930, Carlsbad Caverns  National Park was established. In 2019, it welcomed 440,691 visitors.",us_history.png,Carlsbad Caverns  National Park
5,March,"March 5, 1980","On March 5, 1980, Channel Islands National Park was established. In 2019, it welcomed 409,630 visitors.",us_history.png,Channel Islands National Park
10,November,"November 10, 2003","On November 10, 2003, Congaree National Park was established. In 2019, it welcomed 159,445 visitors.",us_history.png,Congaree National Park
22,May,"May 22, 1902","On May 22, 1902, Crater Lake National Park was established. In 2019, it welcomed 704,512 visitors.",us_history.png,Crater Lake National Park
11,October,"October 11, 2000","On October 11, 2000, Cuyahoga Valley National Park was established. In 2019, it welcomed 2,237,997 visitors.",us_history.png,Cuyahoga Valley National Park
31,October,"October 31, 1994","On October 31, 1994, Death Valley National Park was established. In 2019, it welcomed 1,740,945 visitors.",us_history.png,Death Valley National Park
26,February,"February 26, 1917","On February 26, 1917, Denali National Park was established. In 2019, it welcomed 601,152 visitors.",us_history.png,Denali National Park
26,October,"October 26, 1992","On October 26, 1992, Dry Tortugas National Park was established. In 2019, it welcomed 79,200 visitors.",us_history.png,Dry Tortugas National Park
30,May,"May 30, 1934","On May 30, 1934, Everglades National Park was established. In 2019, it welcomed 1,118,300 visitors.",us_history.png,Everglades National Park
2,December,"December 2, 1980","On December 2, 1980, Gates of the Arctic National Park was established. In 2019, it welcomed 10,518 visitors.",us_history.png,Gates of the Arctic National Park
22,February,"February 22, 2018","On February 22, 2018, Gateway Arch National Park was established. In 2019, it welcomed 2,055,309 visitors.",us_history.png,Gateway Arch National Park
11,May,"May 11, 1910","On May 11, 1910, Glacier National Park was established. In 2019, it welcomed 3,049,839 visitors.",us_history.png,Glacier National Park
2,December,"December 2, 1980","On December 2, 1980, Glacier Bay National Park was established. In 2019, it welcomed 672,087 visitors.",us_history.png,Glacier Bay National Park
26,February,"February 26, 1919","On February 26, 1919, Grand Canyon  National Park was established. In 2019, it welcomed 5,974,411 visitors.",us_history.png,Grand Canyon  National Park
26,February,"February 26, 1929","On February 26, 1929, Grand Teton National Park was established. In 2019, it welcomed 3,405,614 visitors.",us_history.png,Grand Teton National Park
27,October,"October 27, 1986","On October 27, 1986, Great Basin National Park was established. In 2019, it welcomed 131,802 visitors.",us_history.png,Great Basin National Park
13,September,"September 13, 2004","On September 13, 2004, Great Sand Dunes National Park was established. In 2019, it welcomed 527,546 visitors.",us_history.png,Great Sand Dunes National Park
15,June,"June 15, 1934","On June 15, 1934, Great Smoky Mountains National Park was established. In 2019, it welcomed 12,547,743 visitors.",us_history.png,Great Smoky Mountains National Park
15,October,"October 15, 1966","On October 15, 1966, Guadalupe Mountains National Park was established. In 2019, it welcomed 188,833 visitors.",us_history.png,Guadalupe Mountains National Park
1,July,"July 1, 1961","On July 1, 1961, Haleakalā National Park was established. In 2019, it welcomed 994,394 visitors.",us_history.png,Haleakalā National Park
1,August,"August 1, 1916","On August 1, 1916, Hawaiʻi Volcanoes National Park was established. In 2019, it welcomed 1,368,376 visitors.",us_history.png,Hawaiʻi Volcanoes National Park
4,March,"March 4, 1921","On March 4, 1921, Hot Springs National Park was established. In 2019, it welcomed 1,467,153 visitors.",us_history.png,Hot Springs National Park
15,February,"February 15, 2019","On February 15, 2019, Indiana Dunes National Park was established. In 2019, it welcomed 2,134,285 visitors.",us_history.png,Indiana Dunes National Park
3,April,"April 3, 1940","On April 3, 1940, Isle Royale National Park was established. In 2019, it welcomed 26,410 visitors.",us_history.png,Isle Royale National Park
31,October,"October 31, 1994","On October 31, 1994, Joshua Tree National Park was established. In 2019, it welcomed 2,988,547 visitors.",us_history.png,Joshua Tree National Park
2,December,"December 2, 1980","On December 2, 1980, Katmai National Park was established. In 2019, it welcomed 84,167 visitors.",us_history.png,Katmai National Park
2,December,"December 2, 1980","On December 2, 1980, Kenai Fjords National Park was established. In 2019, it welcomed 356,601 visitors.",us_history.png,Kenai Fjords National Park
4,March,"March 4, 1940","On March 4, 1940, Kings Canyon National Park was established. In 2019, it welcomed 632,110 visitors.",us_history.png,Kings Canyon National Park
2,December,"December 2, 1980","On December 2, 1980, Kobuk Valley National Park was established. In 2019, it welcomed 15,766 visitors.",us_history.png,Kobuk Valley National Park
2,December,"December 2, 1980","On December 2, 1980, Lake Clark National Park was established. In 2019, it welcomed 17,157 visitors.",us_history.png,Lake Clark National Park
9,August,"August 9, 1916","On August 9, 1916, Lassen Volcanic National Park was established. In 2019, it welcomed 517,039 visitors.",us_history.png,Lassen Volcanic National Park
1,July,"July 1, 1941","On July 1, 1941, Mammoth Cave National Park was established. In 2019, it welcomed 551,590 visitors.",us_history.png,Mammoth Cave National Park
29,June,"June 29, 1906","On June 29, 1906, Mesa Verde  National Park was established. In 2019, it welcomed 556,203 visitors.",us_history.png,Mesa Verde  National Park
2,March,"March 2, 1899","On March 2, 1899, Mount Rainier National Park was established. In 2019, it welcomed 1,501,621 visitors.",us_history.png,Mount Rainier National Park
2,October,"October 2, 1968","On October 2, 1968, North Cascades National Park was established. In 2019, it welcomed 38,208 visitors.",us_history.png,North Cascades National Park
29,June,"June 29, 1938","On June 29, 1938, Olympic National Park was established. In 2019, it welcomed 3,245,806 visitors.",us_history.png,Olympic National Park
9,December,"December 9, 1962","On December 9, 1962, Petrified Forest National Park was established. In 2019, it welcomed 643,588 visitors.",us_history.png,Petrified Forest National Park
10,January,"January 10, 2013","On January 10, 2013, Pinnacles National Park was established. In 2019, it welcomed 177,224 visitors.",us_history.png,Pinnacles National Park
2,October,"October 2, 1968","On October 2, 1968, Redwood  National Park was established. In 2019, it welcomed 504,722 visitors.",us_history.png,Redwood  National Park
26,January,"January 26, 1915","On January 26, 1915, Rocky Mountain National Park was established. In 2019, it welcomed 4,670,053 visitors.",us_history.png,Rocky Mountain National Park
14,October,"October 14, 1994","On October 14, 1994, Saguaro National Park was established. In 2019, it welcomed 1,020,226 visitors.",us_history.png,Saguaro National Park
25,September,"September 25, 1890","On September 25, 1890, Sequoia National Park was established. In 2019, it welcomed 1,246,053 visitors.",us_history.png,Sequoia National Park
26,December,"December 26, 1935","On December 26, 1935, Shenandoah National Park was established. In 2019, it welcomed 1,425,507 visitors.",us_history.png,Shenandoah National Park
10,November,"November 10, 1978","On November 10, 1978, Theodore Roosevelt National Park was established. In 2019, it welcomed 691,658 visitors.",us_history.png,Theodore Roosevelt National Park
2,August,"August 2, 1956","On August 2, 1956, Virgin Islands National Park was established. In 2019, it welcomed 133,398 visitors.",us_history.png,Virgin Islands National Park
8,January,"January 8, 1971","On January 8, 1971, Voyageurs National Park was established. In 2019, it welcomed 232,974 visitors.",us_history.png,Voyageurs National Park
20,December,"December 20, 2019","On December 20, 2019, White Sands National Park was established. In 2019, it welcomed 608,785 visitors.",us_history.png,White Sands National Park
9,January,"January 9, 1903","On January 9, 1903, Wind Cave National Park was established. In 2019, it welcomed 615,350 visitors.",us_history.png,Wind Cave National Park
2,December,"December 2, 1980","On December 2, 1980, Wrangell–St. Elias  National Park was established. In 2019, it welcomed 74,518 visitors.",us_history.png,Wrangell–St. Elias  National Park
1,March,"March 1, 1872","On March 1, 1872, Yellowstone National Park was established. In 2019, it welcomed 4,422,861 visitors.",us_history.png,Yellowstone National Park
1,October,"October 1, 1890","On October 1, 1890, Yosemite  National Park was established. In 2019, it welcomed 4,020,288 visitors.",us_history.png,Yosemite  National Park
19,November,"November 19, 1919","On November 19, 1919, Zion National Park was established. In 2019, it welcomed 4,488,268 visitors.",us_history.png,Zion National Park
15,December,"December 15, 1791","On December 15, 1791, The 1st Amendment to the United States Constitution was ratified (agreed to and made law). The 1st Amendment Protects freedom of religion, freedom of speech, freedom of the press, freedom of assembly and the right to petition the government.",us_history.png,1st Amendment United States
15,December,"December 15, 1791","On December 15, 1791, The 2nd Amendment to the United States Constitution was ratified (agreed to and made law). The 2nd Amendment Protects the right to keep and bear arms",us_history.png,2nd Amendment United States
15,December,"December 15, 1791","On December 15, 1791, The 3rd Amendment to the United States Constitution was ratified (agreed to and made law). The 3rd Amendment Restricts the quartering of soldiers in private homes",us_history.png,3rd Amendment United States
15,December,"December 15, 1791","On December 15, 1791, The 4th Amendment to the United States Constitution was ratified (agreed to and made law). The 4th Amendment Prohibits unreasonable searches and seizures and sets out requirements for search warrants based on probable cause",us_history.png,4th Amendment United States
15,December,"December 15, 1791","On December 15, 1791, The 5th Amendment to the United States Constitution was ratified (agreed to and made law). The 5th Amendment Sets out rules for indictment by grand jury and eminent domain, protects the right to due process, and prohibits self-incrimination and double jeopardy",us_history.png,5th Amendment United States
15,December,"December 15, 1791","On December 15, 1791, The 6th Amendment to the United States Constitution was ratified (agreed to and made law). The 6th Amendment Protects the right to a speedy public trial by jury, to notification of criminal accusations, to confront the accuser, to obtain witnesses and to retain counsel",us_history.png,6th Amendment United States
15,December,"December 15, 1791","On December 15, 1791, The 7th Amendment to the United States Constitution was ratified (agreed to and made law). The 7th Amendment Provides for the right to a jury trial in civil lawsuits",us_history.png,7th Amendment United States
15,December,"December 15, 1791","On December 15, 1791, The 8th Amendment to the United States Constitution was ratified (agreed to and made law). The 8th Amendment Prohibits excessive fines and excessive bail, as well as cruel and unusual punishment",us_history.png,8th Amendment United States
15,December,"December 15, 1791","On December 15, 1791, The 9th Amendment to the United States Constitution was ratified (agreed to and made law). The 9th Amendment States that rights not enumerated in the Constitution are retained by the people",us_history.png,9th Amendment United States
15,December,"December 15, 1791","On December 15, 1791, The 10th Amendment to the United States Constitution was ratified (agreed to and made law). The 10th Amendment States that the federal government possesses only those powers delegated, or enumerated, to it through the Constitution",us_history.png,10th Amendment United States
7,February,"February 7, 1795","On February 7, 1795, The 11th Amendment to the United States Constitution was ratified (agreed to and made law). The 11th Amendment Makes states immune from suits from out-of-state citizens and foreigners not living within the state borders; lays the foundation for state sovereign immunity",us_history.png,11th Amendment United States
15,June,"June 15, 1804","On June 15, 1804, The 12th Amendment to the United States Constitution was ratified (agreed to and made law). The 12th Amendment Revises presidential election procedures by having the president and vice president elected together as opposed to the vice president being the runner up in the presidential election",us_history.png,12th Amendment United States
6,December,"December 6, 1865","On December 6, 1865, The 13th Amendment to the United States Constitution was ratified (agreed to and made law). The 13th Amendment Abolishes slavery, and involuntary servitude, except as punishment for a crime",us_history.png,13th Amendment United States
9,July,"July 9, 1868","On July 9, 1868, The 14th Amendment to the United States Constitution was ratified (agreed to and made law). The 14th Amendment Defines citizenship, contains the Privileges or Immunities Clause, the Due Process Clause, and the Equal Protection Clause, and deals with post–Civil War issues",us_history.png,14th Amendment United States
3,February,"February 3, 1870","On February 3, 1870, The 15th Amendment to the United States Constitution was ratified (agreed to and made law). The 15th Amendment Prohibits the denial of the right to vote based on race, color or previous condition of servitude",us_history.png,15th Amendment United States
3,February,"February 3, 1913","On February 3, 1913, The 16th Amendment to the United States Constitution was ratified (agreed to and made law). The 16th Amendment Permits Congress to levy an income tax without apportioning it among the various states or basing it on the United States Census",us_history.png,16th Amendment United States
8,April,"April 8, 1913","On April 8, 1913, The 17th Amendment to the United States Constitution was ratified (agreed to and made law). The 17th Amendment Establishes the direct election of United States senators by popular vote",us_history.png,17th Amendment United States
16,January,"January 16, 1919","On January 16, 1919, The 18th Amendment to the United States Constitution was ratified (agreed to and made law). The 18th Amendment Prohibited the manufacturing or sale of alcohol within the United States(Repealed December 5, 1933, via the 21st Amendment)",us_history.png,18th Amendment United States
18,August,"August 18, 1920","On August 18, 1920, The 19th Amendment to the United States Constitution was ratified (agreed to and made law). The 19th Amendment Prohibits the denial of the right to vote based on sex",us_history.png,19th Amendment United States
23,January,"January 23, 1933","On January 23, 1933, The 20th Amendment to the United States Constitution was ratified (agreed to and made law). The 20th Amendment Changes the date on which the terms of the president and vice president and of members of Congress end and begin (to January 20 and January 3 respectively). States that if the president-elect becomes vacant, the vice president-elect is inaugurated as president in their place.",us_history.png,20th Amendment United States
5,December,"December 5, 1933","On December 5, 1933, The 21st Amendment to the United States Constitution was ratified (agreed to and made law). The 21st Amendment Repeals the 18th Amendment and makes it a federal offense to transport or import intoxicating liquors into U.S. states and territories where such is prohibited by law",us_history.png,21st Amendment United States
27,February,"February 27, 1951","On February 27, 1951, The 22nd Amendment to the United States Constitution was ratified (agreed to and made law). The 22nd Amendment Limits the number of times a person can be elected President.",us_history.png,22nd Amendment United States
29,March,"March 29, 1961","On March 29, 1961, The 23rd Amendment to the United States Constitution was ratified (agreed to and made law). The 23rd Amendment Grants the District of Columbia electors in the Electoral College",us_history.png,23rd Amendment United States
